1 玄界之门 幻想修仙 幻想修仙 忘语 10462
2 龙王传说 异界大陆 异界大陆 唐家三少 4025
3 大娱乐年代 都市生活 都市生活 九指v587 668
4 重生之我为书狂 都市生活 都市生活 天下第一白 535
5 超时空黑暗交易网 未来世界 未来世界 秒速九光年 521
6 北雄 两晋隋唐 两晋隋唐 河边草 487
7 时空棋局 未来世界 未来世界 竹上猪猪 453
8 铁血神剑 新派武侠 新派武侠 藏剑江湖 408
9 完美大明星 都市生活 都市生活 沉入太平洋 405
10 主角猎杀者 时空穿梭 时空穿梭 野山黑猪 405
11 恣意人生 都市生活 都市生活 醛石 307
12 神禅 东方玄幻 东方玄幻 梅菲斯托大人 294
13 砺剑繁华 都市生活 都市生活 齐橙 153
14 绑架全世界 异术超能 异术超能 东神唐红天 150
15 大隐 异术超能 异术超能 疯神狂想 92
16 美国之大牧场主 都市生活 都市生活 陶良辰 82
17 末日轮盘 末世危机 末世危机 幻动 76
18 随身带着女神皇 青春校园 青春校园 火中物 69
19 篮球之上帝之鞭 篮球运动 篮球运动 不爱吃草的羊 64
20 我的妹妹是偶像 都市生活 都市生活 赵青杉 64
21 俗人重生记 都市生活 都市生活 辛老五 53
22 美漫超能力兑换系统 异术超能 异术超能 恐怖如厮 48
23 至尊仙朝 古典仙侠 古典仙侠 暗黑茄子 45
24 无限幻想大冒险 时空穿梭 时空穿梭 飞翔炸鸡腿 41
25 永恒高塔 西方奇幻 西方奇幻 纯洁的黑兔子 38
26 异界大召唤系统 游戏异界 游戏异界 王不过霸 38
27 英雄联盟好友圈 时空穿梭 时空穿梭 剩斗士 30
28 超红家丁 架空历史 架空历史 白发燃魔 26
29 神级打工仔 都市生活 都市生活 煮酒论咖啡 23
30 文坛崛起 都市生活 都市生活 一世风流才子 22
31 传奇中场 足球运动 足球运动 凭楼望月 20
32 我的幻想科技 都市生活 都市生活 宅男村村民 16
33 今天开始画漫画 商战职场 商战职场 暴走的推土机 16
34 都市修真医圣 异术超能 异术超能 漂浮的气球2(书坊 15
35 圣堂之心 游戏异界 游戏异界 南瓜火车 13
36 九古荒纹 异界大陆 异界大陆 月中紫夜 12
37 隋唐之乱世召唤 架空历史 架空历史 鬼面青衣 11
38 都市封仙 异术超能 异术超能 吉风冰(书坊) 11
39 秦贼 上古先秦 上古先秦 辛若云 10
40 龙城大世界 游戏异界 游戏异界 失落Hell 9
41 墨道归元 东方玄幻 东方玄幻 胡鳕 9
42 异界变身之战争幻想 西方奇幻 西方奇幻 包子特工 9
43 娱生可念 都市生活 都市生活 哆啦o梦 8
44 卡牌武神 未来世界 未来世界 西瓜黄(书坊) 7
45 杀手之刃 游戏生涯 游戏生涯 三景 7
46 巨星奶爸 都市生活 都市生活 青藤葫芦 6
47 娱乐大亨传说 都市生活 都市生活 美女明星收藏家 6
48 韩娱之鉴宝专家 娱乐明星 娱乐明星 我幻我狂 6
49 超级写手 东方玄幻 东方玄幻 雷动天下 6
50 寻宝师 悬疑探险 悬疑探险 虚空昼空 5
51 我真是召唤师 西方奇幻 西方奇幻 毅少龙(书坊) 5
52 追求永生的旅人 时空穿梭 时空穿梭 上弦月下花 5
53 狂医丹帝 异界大陆 异界大陆 莽浪(书坊) 5
54 三国之三姓家奴 秦汉三国 秦汉三国 狼番长 5
55 美漫世界的血精灵 时空穿梭 时空穿梭 键盘上的噼啪 5
56 末日放逐 末世危机 末世危机 白银之瞳(书坊) 4
57 灶王爷工作指南 洪荒封神 洪荒封神 老实人三六 4
58 星空圣帝 东方玄幻 东方玄幻 默默的黄牛(书坊) 4
59 庄子的故事 上古先秦 上古先秦 我说那个谁(书坊) 4
60 远征之龙 清史民国 清史民国 最后的游骑兵 3
61 神族下凡 西方奇幻 西方奇幻 凌无声 3
62 梧桐之凤 现实百态 现实百态 家凤 3
63 魍魉诡谈 灵异奇谈 灵异奇谈 魍魉鬼 3
64 这个帝少不太冷 虚拟网游 虚拟网游 逐月升莲(书坊) 3
65 神瞳之最强穿梭 时空穿梭 时空穿梭 太玄阿九 3
66 逍遥在武侠世界里的剑客 新派武侠 新派武侠 苍山负雪2009 2
67 山河旧事徒闻说 灵异奇谈 灵异奇谈 萧西风 2
68 老兵系统 军旅生涯 军旅生涯 青空之主 2
69 特战之利刃(书坊) 谍战特工 谍战特工 亦沉醉(书坊) 2
70 大妖通灵 古典仙侠 古典仙侠 羽的法术书 2
71 超级大华夏 清史民国 清史民国 光照929 1
72 攻略水浒 架空历史 架空历史 幻雨灬 1
73 暗黑纪元：大丧尸时代 末世危机 末世危机 滨海城市(书坊) 1
74 好莱坞成神记 时空穿梭 时空穿梭 一脸坏笑(书坊) 1
75 九天登神大典 洪荒封神 洪荒封神 食人玩具 1
76 天荒不灭 东方玄幻 东方玄幻 黯然飘烟 1
77 盛放半夏 青春校园 青春校园 青丝晨雪 1
